"","Roger Federer","Pete Sampras","Ivan Lendl","Jimmy Connors","Novak Djokovic","John McEnroe","Rafael Nadal","Bjorn Borg","Andre Agassi","Lleyton Hewitt","Stefan Edberg","Jim Courier","Gustavo Kuerten","Andy Murray","Ilie Nastase","Mats Wilander","Andy Roddick","Boris Becker","Marat Safin","Juan Carlos Ferrero","John Newcombe","Yevgeny Kafelnikov","Thomas Muster","Marcelo Rios","Carlos Moya","Patrick Rafter"
"01/08/2007",1,NA,NA,NA,14,NA,2,NA,151,19,NA,NA,1079,15,NA,NA,6,NA,26,24,NA,NA,NA,NA,44,NA
"01/15/2007",1,NA,NA,NA,15,NA,2,NA,151,19,NA,NA,1079,16,NA,NA,7,NA,27,24,NA,NA,NA,NA,41,NA
"01/29/2007",1,NA,NA,NA,13,NA,2,NA,152,17,NA,NA,1082,14,NA,NA,4,NA,24,27,NA,NA,NA,NA,37,NA
"02/05/2007",1,NA,NA,NA,14,NA,2,NA,164,18,NA,NA,1079,13,NA,NA,4,NA,24,27,NA,NA,NA,NA,36,NA
"02/12/2007",1,NA,NA,NA,14,NA,2,NA,166,18,NA,NA,1076,13,NA,NA,4,NA,24,27,NA,NA,NA,NA,36,NA
"02/19/2007",1,NA,NA,NA,14,NA,2,NA,165,20,NA,NA,736,13,NA,NA,4,NA,24,27,NA,NA,NA,NA,47,NA
"02/26/2007",1,NA,NA,NA,14,NA,2,NA,167,20,NA,NA,804,13,NA,NA,3,NA,24,25,NA,NA,NA,NA,47,NA
"03/05/2007",1,NA,NA,NA,13,NA,2,NA,171,20,NA,NA,680,14,NA,NA,3,NA,24,23,NA,NA,NA,NA,36,NA
"03/19/2007",1,NA,NA,NA,10,NA,2,NA,199,19,NA,NA,670,12,NA,NA,3,NA,27,20,NA,NA,NA,NA,32,NA
"04/02/2007",1,NA,NA,NA,7,NA,2,NA,206,20,NA,NA,667,11,NA,NA,3,NA,27,21,NA,NA,NA,NA,34,NA
"04/09/2007",1,NA,NA,NA,7,NA,2,NA,206,20,NA,NA,662,11,NA,NA,3,NA,27,21,NA,NA,NA,NA,34,NA
"04/16/2007",1,NA,NA,NA,7,NA,2,NA,204,20,NA,NA,659,10,NA,NA,3,NA,26,21,NA,NA,NA,NA,34,NA
"04/23/2007",1,NA,NA,NA,6,NA,2,NA,200,21,NA,NA,661,10,NA,NA,3,NA,26,18,NA,NA,NA,NA,33,NA
"04/30/2007",1,NA,NA,NA,5,NA,2,NA,201,20,NA,NA,660,10,NA,NA,3,NA,26,18,NA,NA,NA,NA,33,NA
"05/07/2007",1,NA,NA,NA,5,NA,2,NA,202,20,NA,NA,656,10,NA,NA,3,NA,26,19,NA,NA,NA,NA,34,NA
"05/14/2007",1,NA,NA,NA,6,NA,2,NA,202,21,NA,NA,661,10,NA,NA,4,NA,26,19,NA,NA,NA,NA,36,NA
"05/21/2007",1,NA,NA,NA,6,NA,2,NA,203,16,NA,NA,664,11,NA,NA,3,NA,25,20,NA,NA,NA,NA,26,NA
"05/28/2007",1,NA,NA,NA,6,NA,2,NA,203,16,NA,NA,669,11,NA,NA,3,NA,25,20,NA,NA,NA,NA,26,NA
"06/11/2007",1,NA,NA,NA,4,NA,2,NA,205,16,NA,NA,661,9,NA,NA,5,NA,24,19,NA,NA,NA,NA,21,NA
"06/18/2007",1,NA,NA,NA,5,NA,2,NA,205,19,NA,NA,667,8,NA,NA,3,NA,25,18,NA,NA,NA,NA,22,NA
"06/25/2007",1,NA,NA,NA,5,NA,2,NA,203,19,NA,NA,670,8,NA,NA,3,NA,24,18,NA,NA,NA,NA,22,NA
"07/09/2007",1,NA,NA,NA,3,NA,2,NA,299,21,NA,NA,672,13,NA,NA,4,NA,22,17,NA,NA,NA,NA,20,NA
"07/16/2007",1,NA,NA,NA,3,NA,2,NA,300,21,NA,NA,667,14,NA,NA,4,NA,22,17,NA,NA,NA,NA,20,NA
"07/23/2007",1,NA,NA,NA,3,NA,2,NA,300,21,NA,NA,661,14,NA,NA,5,NA,22,17,NA,NA,NA,NA,20,NA
"07/30/2007",1,NA,NA,NA,3,NA,2,NA,397,21,NA,NA,658,13,NA,NA,5,NA,22,17,NA,NA,NA,NA,18,NA
"08/06/2007",1,NA,NA,NA,4,NA,2,NA,412,21,NA,NA,661,14,NA,NA,3,NA,22,17,NA,NA,NA,NA,18,NA
"08/13/2007",1,NA,NA,NA,3,NA,2,NA,411,20,NA,NA,663,16,NA,NA,4,NA,24,17,NA,NA,NA,NA,19,NA
"08/20/2007",1,NA,NA,NA,3,NA,2,NA,412,16,NA,NA,661,19,NA,NA,5,NA,25,21,NA,NA,NA,NA,17,NA
"08/27/2007",1,NA,NA,NA,3,NA,2,NA,413,16,NA,NA,658,19,NA,NA,5,NA,25,21,NA,NA,NA,NA,17,NA
"09/10/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,662,19,NA,NA,5,NA,27,24,NA,NA,NA,NA,15,NA
"09/17/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,661,18,NA,NA,5,NA,27,23,NA,NA,NA,NA,15,NA
"09/24/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,664,18,NA,NA,5,NA,27,23,NA,NA,NA,NA,15,NA
"10/01/2007",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,649,18,NA,NA,5,NA,27,23,NA,NA,NA,NA,15,NA
"10/08/2007",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,650,18,NA,NA,5,NA,28,23,NA,NA,NA,NA,15,NA
"10/15/2007",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,653,17,NA,NA,5,NA,36,23,NA,NA,NA,NA,15,NA
"10/22/2007",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,658,16,NA,NA,5,NA,41,23,NA,NA,NA,NA,15,NA
"10/29/2007",1,NA,NA,NA,3,NA,2,NA,NA,23,NA,NA,661,12,NA,NA,5,NA,38,25,NA,NA,NA,NA,16,NA
"11/05/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,658,11,NA,NA,5,NA,58,24,NA,NA,NA,NA,17,NA
"11/12/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,660,11,NA,NA,5,NA,57,24,NA,NA,NA,NA,17,NA
"11/19/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,676,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"11/26/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,679,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"12/03/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,681,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"12/10/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,681,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"12/17/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,679,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"12/24/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,680,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"12/31/2007",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,680,11,NA,NA,6,NA,56,24,NA,NA,NA,NA,17,NA
"01/07/2008",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,679,9,NA,NA,6,NA,57,24,NA,NA,NA,NA,18,NA
"01/14/2008",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,679,9,NA,NA,6,NA,58,21,NA,NA,NA,NA,18,NA
"01/28/2008",1,NA,NA,NA,3,NA,2,NA,NA,20,NA,NA,676,12,NA,NA,6,NA,64,15,NA,NA,NA,NA,16,NA
"02/04/2008",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,677,11,NA,NA,6,NA,61,15,NA,NA,NA,NA,18,NA
"02/11/2008",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,677,11,NA,NA,6,NA,58,15,NA,NA,NA,NA,18,NA
"02/18/2008",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,926,10,NA,NA,6,NA,64,20,NA,NA,NA,NA,13,NA
"02/25/2008",1,NA,NA,NA,3,NA,2,NA,NA,18,NA,NA,924,12,NA,NA,6,NA,65,19,NA,NA,NA,NA,13,NA
"03/03/2008",1,NA,NA,NA,3,NA,2,NA,NA,24,NA,NA,NA,11,NA,NA,6,NA,87,22,NA,NA,NA,NA,18,NA
"03/10/2008",1,NA,NA,NA,3,NA,2,NA,NA,24,NA,NA,NA,11,NA,NA,6,NA,88,22,NA,NA,NA,NA,19,NA
"03/24/2008",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,13,NA,NA,6,NA,90,23,NA,NA,NA,NA,21,NA
"04/07/2008",1,NA,NA,NA,3,NA,2,NA,NA,21,NA,NA,NA,22,NA,NA,6,NA,87,20,NA,NA,NA,NA,16,NA
"04/14/2008",1,NA,NA,NA,3,NA,2,NA,NA,20,NA,NA,NA,21,NA,NA,6,NA,86,19,NA,NA,NA,NA,16,NA
"04/21/2008",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,1145,20,NA,NA,6,NA,93,24,NA,NA,NA,NA,14,NA
"04/28/2008",1,NA,NA,NA,3,NA,2,NA,NA,20,NA,NA,1150,19,NA,NA,6,NA,84,23,NA,NA,NA,NA,14,NA
"05/05/2008",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,1149,18,NA,NA,6,NA,79,23,NA,NA,NA,NA,13,NA
"05/12/2008",1,NA,NA,NA,3,NA,2,NA,NA,19,NA,NA,1147,14,NA,NA,6,NA,89,23,NA,NA,NA,NA,12,NA
"05/19/2008",1,NA,NA,NA,3,NA,2,NA,NA,26,NA,NA,1140,11,NA,NA,6,NA,72,24,NA,NA,NA,NA,17,NA
"05/26/2008",1,NA,NA,NA,3,NA,2,NA,NA,28,NA,NA,1141,12,NA,NA,6,NA,73,24,NA,NA,NA,NA,17,NA
"06/09/2008",1,NA,NA,NA,3,NA,2,NA,NA,30,NA,NA,1141,11,NA,NA,6,NA,76,24,NA,NA,NA,NA,26,NA
"06/16/2008",1,NA,NA,NA,3,NA,2,NA,NA,27,NA,NA,1135,11,NA,NA,6,NA,77,23,NA,NA,NA,NA,24,NA
"06/23/2008",1,NA,NA,NA,3,NA,2,NA,NA,27,NA,NA,1140,11,NA,NA,6,NA,75,23,NA,NA,NA,NA,24,NA
"07/07/2008",1,NA,NA,NA,3,NA,2,NA,NA,28,NA,NA,1137,9,NA,NA,6,NA,40,37,NA,NA,NA,NA,25,NA
"07/14/2008",1,NA,NA,NA,3,NA,2,NA,NA,26,NA,NA,1144,9,NA,NA,6,NA,40,37,NA,NA,NA,NA,27,NA
"07/21/2008",1,NA,NA,NA,3,NA,2,NA,NA,27,NA,NA,1149,9,NA,NA,6,NA,42,43,NA,NA,NA,NA,28,NA
"07/28/2008",1,NA,NA,NA,3,NA,2,NA,NA,28,NA,NA,1156,9,NA,NA,6,NA,38,44,NA,NA,NA,NA,41,NA
"08/04/2008",1,NA,NA,NA,3,NA,2,NA,NA,28,NA,NA,1157,6,NA,NA,9,NA,44,46,NA,NA,NA,NA,30,NA
"08/11/2008",1,NA,NA,NA,3,NA,2,NA,NA,38,NA,NA,1149,6,NA,NA,9,NA,44,45,NA,NA,NA,NA,30,NA
"08/18/2008",2,NA,NA,NA,3,NA,1,NA,NA,55,NA,NA,1144,6,NA,NA,8,NA,44,50,NA,NA,NA,NA,41,NA
"08/25/2008",2,NA,NA,NA,3,NA,1,NA,NA,56,NA,NA,1140,6,NA,NA,8,NA,44,50,NA,NA,NA,NA,42,NA
"09/08/2008",2,NA,NA,NA,3,NA,1,NA,NA,59,NA,NA,1143,4,NA,NA,8,NA,39,47,NA,NA,NA,NA,61,NA
"09/15/2008",2,NA,NA,NA,3,NA,1,NA,NA,59,NA,NA,1134,4,NA,NA,8,NA,38,48,NA,NA,NA,NA,49,NA
"09/22/2008",2,NA,NA,NA,3,NA,1,NA,NA,61,NA,NA,1139,4,NA,NA,8,NA,38,48,NA,NA,NA,NA,49,NA
"09/29/2008",2,NA,NA,NA,3,NA,1,NA,NA,63,NA,NA,1151,4,NA,NA,8,NA,40,45,NA,NA,NA,NA,49,NA
"10/06/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1150,4,NA,NA,8,NA,40,44,NA,NA,NA,NA,48,NA
"10/13/2008",2,NA,NA,NA,3,NA,1,NA,NA,68,NA,NA,1156,4,NA,NA,8,NA,34,52,NA,NA,NA,NA,46,NA
"10/20/2008",2,NA,NA,NA,3,NA,1,NA,NA,70,NA,NA,1160,4,NA,NA,7,NA,31,63,NA,NA,NA,NA,44,NA
"10/27/2008",2,NA,NA,NA,3,NA,1,NA,NA,69,NA,NA,1159,4,NA,NA,7,NA,31,56,NA,NA,NA,NA,42,NA
"11/03/2008",2,NA,NA,NA,3,NA,1,NA,NA,68,NA,NA,1158,4,NA,NA,6,NA,29,55,NA,NA,NA,NA,42,NA
"11/10/2008",2,NA,NA,NA,3,NA,1,NA,NA,68,NA,NA,1159,4,NA,NA,6,NA,29,55,NA,NA,NA,NA,42,NA
"11/17/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1159,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"11/24/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1144,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"12/01/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1147,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"12/08/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1150,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"12/15/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1147,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"12/22/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1147,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"12/29/2008",2,NA,NA,NA,3,NA,1,NA,NA,67,NA,NA,1150,4,NA,NA,8,NA,29,55,NA,NA,NA,NA,42,NA
"01/05/2009",2,NA,NA,NA,3,NA,1,NA,NA,70,NA,NA,1148,4,NA,NA,8,NA,29,52,NA,NA,NA,NA,42,NA
"01/12/2009",2,NA,NA,NA,3,NA,1,NA,NA,74,NA,NA,1148,4,NA,NA,8,NA,27,65,NA,NA,NA,NA,41,NA
"01/19/2009",2,NA,NA,NA,3,NA,1,NA,NA,70,NA,NA,1149,4,NA,NA,9,NA,27,65,NA,NA,NA,NA,41,NA
"02/02/2009",2,NA,NA,NA,3,NA,1,NA,NA,108,NA,NA,1148,4,NA,NA,6,NA,27,101,NA,NA,NA,NA,39,NA
"02/09/2009",2,NA,NA,NA,3,NA,1,NA,NA,107,NA,NA,1150,4,NA,NA,6,NA,27,101,NA,NA,NA,NA,40,NA
"02/16/2009",2,NA,NA,NA,3,NA,1,NA,NA,103,NA,NA,1145,4,NA,NA,6,NA,26,93,NA,NA,NA,NA,49,NA
"02/23/2009",2,NA,NA,NA,3,NA,1,NA,NA,78,NA,NA,1142,4,NA,NA,6,NA,25,86,NA,NA,NA,NA,48,NA
"03/02/2009",2,NA,NA,NA,3,NA,1,NA,NA,72,NA,NA,1139,4,NA,NA,6,NA,25,85,NA,NA,NA,NA,46,NA
"03/09/2009",2,NA,NA,NA,3,NA,1,NA,NA,77,NA,NA,1138,4,NA,NA,7,NA,25,84,NA,NA,NA,NA,45,NA
"03/23/2009",2,NA,NA,NA,3,NA,1,NA,NA,92,NA,NA,1135,4,NA,NA,6,NA,23,108,NA,NA,NA,NA,48,NA
"04/06/2009",2,NA,NA,NA,3,NA,1,NA,NA,88,NA,NA,1134,4,NA,NA,6,NA,21,115,NA,NA,NA,NA,51,NA
"04/13/2009",2,NA,NA,NA,3,NA,1,NA,NA,57,NA,NA,1132,4,NA,NA,6,NA,21,75,NA,NA,NA,NA,51,NA
"04/20/2009",2,NA,NA,NA,3,NA,1,NA,NA,56,NA,NA,NA,4,NA,NA,6,NA,20,70,NA,NA,NA,NA,52,NA
"04/27/2009",2,NA,NA,NA,3,NA,1,NA,NA,53,NA,NA,NA,4,NA,NA,6,NA,20,100,NA,NA,NA,NA,49,NA
"05/04/2009",2,NA,NA,NA,3,NA,1,NA,NA,55,NA,NA,NA,4,NA,NA,6,NA,20,92,NA,NA,NA,NA,48,NA
"05/11/2009",2,NA,NA,NA,4,NA,1,NA,NA,53,NA,NA,NA,3,NA,NA,6,NA,20,115,NA,NA,NA,NA,48,NA
"05/18/2009",2,NA,NA,NA,4,NA,1,NA,NA,50,NA,NA,NA,3,NA,NA,6,NA,22,104,NA,NA,NA,NA,69,NA
"05/25/2009",2,NA,NA,NA,4,NA,1,NA,NA,48,NA,NA,NA,3,NA,NA,6,NA,22,103,NA,NA,NA,NA,70,NA
"06/08/2009",2,NA,NA,NA,4,NA,1,NA,NA,49,NA,NA,NA,3,NA,NA,6,NA,23,90,NA,NA,NA,NA,62,NA
"06/15/2009",2,NA,NA,NA,4,NA,1,NA,NA,56,NA,NA,NA,3,NA,NA,6,NA,23,69,NA,NA,NA,NA,60,NA
"06/22/2009",2,NA,NA,NA,4,NA,1,NA,NA,56,NA,NA,NA,3,NA,NA,6,NA,24,70,NA,NA,NA,NA,61,NA
"07/06/2009",1,NA,NA,NA,4,NA,2,NA,NA,44,NA,NA,NA,3,NA,NA,6,NA,60,37,NA,NA,NA,NA,55,NA
"07/13/2009",1,NA,NA,NA,4,NA,2,NA,NA,42,NA,NA,NA,3,NA,NA,5,NA,58,35,NA,NA,NA,NA,52,NA
"07/20/2009",1,NA,NA,NA,4,NA,2,NA,NA,42,NA,NA,NA,3,NA,NA,5,NA,54,35,NA,NA,NA,NA,57,NA
"07/27/2009",1,NA,NA,NA,4,NA,2,NA,NA,40,NA,NA,NA,3,NA,NA,5,NA,55,36,NA,NA,NA,NA,61,NA
"08/03/2009",1,NA,NA,NA,4,NA,2,NA,NA,42,NA,NA,NA,3,NA,NA,5,NA,53,29,NA,NA,NA,NA,106,NA
"08/10/2009",1,NA,NA,NA,4,NA,2,NA,NA,40,NA,NA,NA,3,NA,NA,5,NA,61,29,NA,NA,NA,NA,107,NA
"08/17/2009",1,NA,NA,NA,4,NA,3,NA,NA,42,NA,NA,NA,2,NA,NA,5,NA,61,25,NA,NA,NA,NA,106,NA
"08/24/2009",1,NA,NA,NA,4,NA,3,NA,NA,32,NA,NA,NA,2,NA,NA,5,NA,58,25,NA,NA,NA,NA,105,NA
"08/31/2009",1,NA,NA,NA,4,NA,3,NA,NA,32,NA,NA,NA,2,NA,NA,5,NA,58,25,NA,NA,NA,NA,105,NA
"09/14/2009",1,NA,NA,NA,4,NA,2,NA,NA,26,NA,NA,NA,3,NA,NA,6,NA,61,21,NA,NA,NA,NA,197,NA
"09/21/2009",1,NA,NA,NA,4,NA,2,NA,NA,26,NA,NA,NA,3,NA,NA,6,NA,60,21,NA,NA,NA,NA,192,NA
"09/28/2009",1,NA,NA,NA,4,NA,2,NA,NA,26,NA,NA,NA,3,NA,NA,6,NA,58,21,NA,NA,NA,NA,190,NA
"10/05/2009",1,NA,NA,NA,4,NA,2,NA,NA,26,NA,NA,NA,3,NA,NA,6,NA,59,20,NA,NA,NA,NA,246,NA
"10/12/2009",1,NA,NA,NA,4,NA,2,NA,NA,23,NA,NA,NA,3,NA,NA,6,NA,86,21,NA,NA,NA,NA,429,NA
"10/19/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,76,21,NA,NA,NA,NA,461,NA
"10/26/2009",1,NA,NA,NA,3,NA,2,NA,NA,20,NA,NA,NA,4,NA,NA,7,NA,77,22,NA,NA,NA,NA,457,NA
"11/02/2009",1,NA,NA,NA,3,NA,2,NA,NA,20,NA,NA,NA,4,NA,NA,6,NA,65,22,NA,NA,NA,NA,463,NA
"11/09/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,6,NA,65,23,NA,NA,NA,NA,459,NA
"11/16/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,6,NA,61,23,NA,NA,NA,NA,456,NA
"11/23/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,6,NA,61,23,NA,NA,NA,NA,454,NA
"11/30/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,61,23,NA,NA,NA,NA,453,NA
"12/07/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,NA,23,NA,NA,NA,NA,450,NA
"12/14/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,NA,23,NA,NA,NA,NA,449,NA
"12/21/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,NA,23,NA,NA,NA,NA,448,NA
"12/28/2009",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,NA,23,NA,NA,NA,NA,446,NA
"01/04/2010",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,NA,23,NA,NA,NA,NA,446,NA
"01/11/2010",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,5,NA,NA,7,NA,NA,23,NA,NA,NA,NA,512,NA
"01/18/2010",1,NA,NA,NA,3,NA,2,NA,NA,22,NA,NA,NA,4,NA,NA,7,NA,NA,23,NA,NA,NA,NA,509,NA
"02/01/2010",1,NA,NA,NA,2,NA,4,NA,NA,19,NA,NA,NA,3,NA,NA,7,NA,NA,22,NA,NA,NA,NA,507,NA
"02/08/2010",1,NA,NA,NA,2,NA,4,NA,NA,19,NA,NA,NA,3,NA,NA,7,NA,NA,22,NA,NA,NA,NA,506,NA
"02/15/2010",1,NA,NA,NA,2,NA,3,NA,NA,20,NA,NA,NA,4,NA,NA,7,NA,NA,22,NA,NA,NA,NA,507,NA
"02/22/2010",1,NA,NA,NA,2,NA,3,NA,NA,24,NA,NA,NA,4,NA,NA,8,NA,NA,16,NA,NA,NA,NA,439,NA
"03/01/2010",1,NA,NA,NA,2,NA,3,NA,NA,24,NA,NA,NA,4,NA,NA,8,NA,NA,14,NA,NA,NA,NA,641,NA
"03/08/2010",1,NA,NA,NA,2,NA,3,NA,NA,24,NA,NA,NA,4,NA,NA,8,NA,NA,14,NA,NA,NA,NA,639,NA
"03/22/2010",1,NA,NA,NA,2,NA,4,NA,NA,27,NA,NA,NA,3,NA,NA,8,NA,NA,14,NA,NA,NA,NA,505,NA
"04/05/2010",1,NA,NA,NA,2,NA,3,NA,NA,27,NA,NA,NA,4,NA,NA,7,NA,NA,15,NA,NA,NA,NA,508,NA
"04/12/2010",1,NA,NA,NA,2,NA,3,NA,NA,30,NA,NA,NA,4,NA,NA,7,NA,NA,16,NA,NA,NA,NA,510,NA
"04/19/2010",1,NA,NA,NA,2,NA,3,NA,NA,32,NA,NA,NA,5,NA,NA,7,NA,NA,16,NA,NA,NA,NA,510,NA
"04/26/2010",1,NA,NA,NA,2,NA,3,NA,NA,32,NA,NA,NA,5,NA,NA,8,NA,NA,16,NA,NA,NA,NA,509,NA
"05/03/2010",1,NA,NA,NA,2,NA,3,NA,NA,29,NA,NA,NA,4,NA,NA,8,NA,NA,17,NA,NA,NA,NA,514,NA
"05/10/2010",1,NA,NA,NA,2,NA,3,NA,NA,31,NA,NA,NA,4,NA,NA,8,NA,NA,17,NA,NA,NA,NA,514,NA
"05/17/2010",1,NA,NA,NA,3,NA,2,NA,NA,33,NA,NA,NA,4,NA,NA,8,NA,NA,18,NA,NA,NA,NA,515,NA
"05/24/2010",1,NA,NA,NA,3,NA,2,NA,NA,33,NA,NA,NA,4,NA,NA,8,NA,NA,18,NA,NA,NA,NA,516,NA
"06/07/2010",2,NA,NA,NA,3,NA,1,NA,NA,32,NA,NA,NA,4,NA,NA,7,NA,NA,17,NA,NA,NA,NA,520,NA
"06/14/2010",2,NA,NA,NA,3,NA,1,NA,NA,26,NA,NA,NA,4,NA,NA,7,NA,NA,17,NA,NA,NA,NA,524,NA
"06/21/2010",2,NA,NA,NA,3,NA,1,NA,NA,26,NA,NA,NA,4,NA,NA,7,NA,NA,17,NA,NA,NA,NA,523,NA
"07/05/2010",3,NA,NA,NA,2,NA,1,NA,NA,31,NA,NA,NA,4,NA,NA,9,NA,NA,21,NA,NA,NA,NA,512,NA
"07/12/2010",3,NA,NA,NA,2,NA,1,NA,NA,31,NA,NA,NA,4,NA,NA,9,NA,NA,21,NA,NA,NA,NA,515,NA
"07/19/2010",3,NA,NA,NA,2,NA,1,NA,NA,30,NA,NA,NA,4,NA,NA,9,NA,NA,21,NA,NA,NA,NA,512,NA
"07/26/2010",3,NA,NA,NA,2,NA,1,NA,NA,30,NA,NA,NA,4,NA,NA,9,NA,NA,22,NA,NA,NA,NA,504,NA
"08/02/2010",3,NA,NA,NA,2,NA,1,NA,NA,30,NA,NA,NA,4,NA,NA,9,NA,NA,21,NA,NA,NA,NA,504,NA
"08/09/2010",3,NA,NA,NA,2,NA,1,NA,NA,30,NA,NA,NA,4,NA,NA,11,NA,NA,22,NA,NA,NA,NA,511,NA
"08/16/2010",2,NA,NA,NA,3,NA,1,NA,NA,30,NA,NA,NA,4,NA,NA,13,NA,NA,23,NA,NA,NA,NA,509,NA
"08/23/2010",2,NA,NA,NA,3,NA,1,NA,NA,34,NA,NA,NA,4,NA,NA,9,NA,NA,24,NA,NA,NA,NA,507,NA
"08/30/2010",2,NA,NA,NA,3,NA,1,NA,NA,34,NA,NA,NA,4,NA,NA,9,NA,NA,24,NA,NA,NA,NA,504,NA
"09/06/2010",2,NA,NA,NA,3,NA,1,NA,NA,34,NA,NA,NA,4,NA,NA,9,NA,NA,24,NA,NA,NA,NA,504,NA
"09/13/2010",3,NA,NA,NA,2,NA,1,NA,NA,36,NA,NA,NA,4,NA,NA,11,NA,NA,26,NA,NA,NA,NA,508,NA
"09/20/2010",3,NA,NA,NA,2,NA,1,NA,NA,37,NA,NA,NA,4,NA,NA,10,NA,NA,26,NA,NA,NA,NA,506,NA
"09/27/2010",3,NA,NA,NA,2,NA,1,NA,NA,38,NA,NA,NA,4,NA,NA,10,NA,NA,26,NA,NA,988,NA,507,NA
"10/04/2010",3,NA,NA,NA,2,NA,1,NA,NA,38,NA,NA,NA,4,NA,NA,10,NA,NA,26,NA,NA,990,NA,508,NA
"10/11/2010",3,NA,NA,NA,2,NA,1,NA,NA,49,NA,NA,NA,4,NA,NA,11,NA,NA,27,NA,NA,985,NA,507,NA
"10/18/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,10,NA,NA,25,NA,NA,982,NA,506,NA
"10/25/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,9,NA,NA,25,NA,NA,974,NA,509,NA
"11/01/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,9,NA,NA,24,NA,NA,972,NA,514,NA
"11/08/2010",2,NA,NA,NA,3,NA,1,NA,NA,56,NA,NA,NA,4,NA,NA,8,NA,NA,27,NA,NA,975,NA,511,NA
"11/15/2010",2,NA,NA,NA,3,NA,1,NA,NA,55,NA,NA,NA,5,NA,NA,8,NA,NA,28,NA,NA,980,NA,519,NA
